time,no1_el,no2_el,no3_el,no4_el,no1_rt,no2_rt,no3_rt,no4_rt,abs
2018-08-01 AM 2:00,61.41,62.55,61.06,48.69,1026.89,948.71,938.48,667.92,3.29
2018-08-01 AM 3:00,61.40,62.49,60.86,49.54,1029.40,947.88,936.32,677.68,3.25
2018-08-01 AM 4:00,61.39,62.43,60.55,49.22,1023.39,944.28,933.47,674.54,3.37
2018-08-01 AM 5:00,61.44,62.53,60.53,49.07,1033.63,950.96,935.35,671.37,3.35
2018-08-01 AM 6:00,61.27,62.36,60.23,48.30,1027.16,945.52,929.43,662.14,3.42
2018-08-01 AM 7:00,60.55,62.50,60.12,48.56,1013.21,944.91,925.45,668.06,3.47
2018-08-01 AM 8:00,62.06,62.97,63.01,54.27,1049.73,968.52,972.71,747.34,4.1
2018-08-01 AM 9:00,64.74,63.43,67.83,56.34,1077.19,960.91,1029.00,771.86,4.32
2018-08-01 AM 10:00,65.62,64.21,66.92,57.09,1080.98,968.81,1060.84,775.84,5.13
2018-08-01 AM 11:00,66.26,63.46,65.04,55.49,1084.03,968.83,1035.52,751.20,5.39
2018-08-01 PM 12:00,65.62,61.45,61.10,53.04,1066.88,938.57,985.61,717.26,4.9
2018-08-01 PM 1:00,65.65,61.53,60.56,53.71,1060.00,934.26,977.63,726.02,4.63
2018-08-01 PM 2:00,65.67,61.84,60.63,53.73,1061.11,939.09,979.64,728.27,4.76
2018-08-01 PM 3:00,65.46,61.89,60.55,53.84,1056.32,931.33,976.74,727.93,4.61
2018-08-01 PM 4:00,65.69,62.27,61.17,55.49,1068.29,946.15,990.74,748.88,4.76
2018-08-01 PM 5:00,66.48,66.76,63.44,55.99,1082.93,964.05,1020.26,757.02,4.89
2018-08-01 PM 6:00,65.38,66.16,60.51,52.49,1068.60,951.23,972.54,714.12,4.67
2018-08-01 PM 7:00,64.49,64.78,61.37,51.70,1059.22,943.28,930.56,704.82,4.86
2018-08-01 PM 8:00,63.15,63.86,62.97,51.85,1046.73,954.70,954.56,718.03,4.81
2018-08-01 PM 9:00,60.19,62.96,60.82,50.68,1011.96,952.20,933.90,697.09,4.96
2018-08-01 PM 10:00,60.59,63.06,60.97,51.48,1012.85,950.38,932.91,713.19,4.94
2018-08-01 PM 11:00,61.04,63.24,62.30,50.86,1012.00,949.19,944.54,703.54,4.31
2018-08-02 AM 12:00,60.90,62.98,62.61,50.38,1007.72,945.21,947.61,697.03,3.51
2018-08-02 AM 1:00,61.17,63.15,62.97,50.67,1011.66,948.38,951.61,696.65,3.35
2018-08-02 AM 2:00,62.93,63.12,64.63,51.32,1047.02,957.30,979.29,711.66,3.48
2018-08-02 AM 3:00,60.44,62.22,60.58,48.59,1018.55,949.37,937.75,668.24,3.51
2018-08-02 AM 4:00,59.31,62.39,59.16,49.47,1006.62,958.35,925.92,687.17,3.49
